,TIME,KILLER,DEAD,KILL_METHOD,CURRENT_STATUS
593,16:41.00,69_Aidan,Sh33na,weapon,dead
594,16:42.00,GrandpaStig,evasive_pickle,weapon,dead
595,16:42.00,69_Aidan,Sh33na,weapon,dead
596,16:43.00,GrandpaStig,evasive_pickle,weapon,dead
597,16:43.00,69_Aidan,Sh33na,weapon,dead
598,16:43.00,GrandpaStig,evasive_pickle,weapon,dead
599,16:43.00,69_Aidan,Sh33na,weapon,dead
600,16:44.00,GrandpaStig,evasive_pickle,weapon,dead
601,16:44.00,69_Aidan,Sh33na,weapon,dead
602,16:45.00,GrandpaStig,evasive_pickle,weapon,dead
603,16:45.00,69_Aidan,Sh33na,weapon,dead
604,16:45.00,GrandpaStig,evasive_pickle,weapon,dead
605,16:45.00,69_Aidan,Sh33na,weapon,dead
606,16:46.00,GrandpaStig,evasive_pickle,weapon,dead
607,16:46.00,69_Aidan,Sh33na,weapon,dead
608,16:47.00,GrandpaStig,evasive_pickle,weapon,dead
609,16:47.00,69_Aidan,Sh33na,weapon,dead
610,16:47.00,69_Aidan,Sh33na,weapon,dead
611,16:57.00,chickentendie,VortuLux,,dead
612,16:59.00,CommandoBlando,pa-chow,weapon,dead
613,16:59.00,CommandoBlando,pa-chow,weapon,dead
614,16:59.00,chickentendie,Yortulu,,dead
615,17:0.00,CommandoBlando,pa-chow,weapon,dead
616,17:0.00,chickentendie,VortuLux,,dead
617,17:1.00,CommandoBlando,pa-chow,weapon,dead
618,17:1.00,chickentendie,VortuLux,,dead
619,17:1.00,CommandoBlando,pa-chow,weapon,dead
620,17:1.00,chickentendie,VortuLux,,dead
621,17:2.00,CommandoBlando,pa-chow,weapon,dead
622,17:2.00,chickentendie,VortuLux,,dead
623,17:3.00,CommandoBlando,pa-chow,weapon,dead
624,17:3.00,CommandoBlando,pa-chow,weapon,dead
625,17:4.00,CommandoBlando,pa-chow,weapon,dead
626,17:5.00,CommandoBlando,pa-chow,weapon,dead
627,18:11.00,Cradlestone,Cradlestone,fell,dead
628,18:12.00,Cradlestone,Cradlestone,fell,dead
629,18:13.00,Cradlestone,Cradlestone,fell,dead
630,18:16.00,Cradlestone,radlestone,fell,dead
631,18:17.00,Cradlestone,radlestone,fell,dead
632,18:17.00,Cradlestone,Cradlestone,fell,dead
633,18:26.00,69_Aidan,DutchGuy91,weapon,dead
634,18:27.00,NKD]ItsMackie,Undershoes,weapon,dead
635,18:27.00,69_Aidan,DutchGuy91,weapon,dead
636,18:27.00,NKD]ItsMackie,Undershoes,weapon,dead
637,18:27.00,69_Aidan,DutchGuy91,weapon,dead
638,18:28.00,NKD]ItsMackie,Undershoes,weapon,dead
639,18:28.00,69_Aidan,DutchGuy91,weapon,dead
640,18:29.00,NKD]ItsMackie,Undershoes,weapon,dead
641,18:29.00,69_Aidan,DutchGuy91,weapon,dead
642,18:29.00,NKD]ItsMackie,Indershoes,weapon,dead
643,18:29.00,69_Aidan,utchGuy91,weapon,dead
644,18:30.00,NKD]ItsMackie,Indershoes,weapon,dead
645,18:30.00,69_Aidan,utchGuy91,weapon,dead
646,18:31.00,NKD]ItsMackie,Indershoes,weapon,dead
647,18:31.00,69_Aidan,DutchGuy91,weapon,dead
648,18:31.00,NKD]ItsMackie,Jndershoes,weapon,dead
649,18:31.00,69_Aidan,utchGuy91,weapon,dead
650,18:32.00,NKD]ItsMackie,Undershoes,weapon,dead
651,18:32.00,69_Aidan,utchGuy9,weapon,dead
652,18:33.00,NKD ItsMackie,Undershoes,weapon,dead
653,18:41.00,www420nk,69_Aidan,weapon,dead
654,18:41.00,vWw420nk,69_Aidan,weapon,dead
655,18:42.00,vWw420nk,69_Aidan,weapon,dead
656,18:43.00,wW W420nk,69_Aidan,weapon,dead
657,18:43.00,wWW420nk,69_Aidan,weapon,dead
658,18:44.00,w420nk,69_Aidan,weapon,dead
659,18:45.00,ww w420nk,69_Aidan,weapon,dead
660,18:45.00,ww w420nk,69_Aidan,weapon,dead
661,18:46.00,WW w420nk,NKD ItsMackie,weapon,dead
662,18:46.00,WwW420nk,69_Aidan,weapon,dead
663,18:47.00,WW w420nk,NKD ItsMackie,weapon,dead
664,18:47.00,Ww W420nk,69_Aidan,weapon,dead
665,18:47.00,WW w420nk,NKD ItsMackie,weapon,dead
666,18:48.00,w420nk,NKD ItsMackie,weapon,dead
667,18:49.00,vWw420nk,NKD ItsMackie,weapon,dead
668,18:50.00,WW] w420nk,ItsMackie,weapon,dead
669,18:51.00,1W420n,NKDl ItsMackie,weapon,dead
670,18:51.00,1W420nh,NKDI ItsMackie,weapon,dead
671,18:52.00,VWW420nk,NKDItsMackie,weapon,dead
672,18:53.00,wW] w420nk,NKD]ItsMackie,weapon,dead
673,19:56.00,Cleansanch,TheCarbonWolf,weapon,dead
674,19:57.00,Cleansanch,TheCarbonWolf,weapon,dead
675,19:59.00,Cleansanch,TheCarbonWolf,weapon,dead
676,19:59.00,leansanc,TheCarbonWol,weapon,dead
677,20:0.00,Cleansanch,TheCarbonWoll,weapon,dead
678,20:0.00,DrDisRespect,notHaACKINGtv,weapon,dead
679,20:1.00,Cleansanch,TheCarbonWolf,weapon,dead
680,20:1.00,DrDisRespect,notHaACKINGtv,weapon,dead
681,20:1.00,Cleansanch,TheCarbonWolf,weapon,dead
682,20:1.00,DrDisRespect,notHaACKINGtv,weapon,dead
683,20:2.00,Cleansanci,TheCarbonWol,weapon,dead
684,20:2.00,DrDisRespect,notHaACKINGtv,weapon,dead
685,20:3.00,Cleansanch,TheCarbonWol,weapon,dead
686,20:3.00,DrDisRespect,notHaACKINGt,weapon,dead
687,20:3.00,DrDisRespect,notHaACKINGt,weapon,dead
688,20:4.00,DrDisRespect,notHaACKINGtv,weapon,dead
689,20:5.00,DrDisRespect,notHaACKINGtv,weapon,dead
690,20:5.00,DrDisRespect,notHaACKINGty,weapon,dead
691,20:6.00,DrDisRespect,notHaACKINGty,weapon,dead
692,20:15.00,CommandoBlando,DoomBelly,weapon,dead
693,20:16.00,CommandoBlando,DoomBelly,weapon,dead
694,20:17.00,CommandoBlando,DoomBell,weapon,dead
695,20:17.00,CommandoBlandc,DoomBell,weapon,dead
696,20:17.00,Cleansanch,H20wolfman,weapon,dead
697,20:18.00,CommandoBlandc,DoomBell,weapon,dead
698,20:18.00,Cleansanch,H20wolfman,weapon,dead
699,20:19.00,CommandoBlandc,DoomBell,weapon,dead
700,20:19.00,Cleansanch,H20wolfman,weapon,dead
701,20:19.00,CommandoBlandc,DoomBell,weapon,dead
702,20:20.00,CommandoBlando,DoomBell,weapon,dead
703,20:21.00,CommandoBlando,DoomBell,weapon,dead
704,20:21.00,Cleansanch,H20wolfman,weapon,dead
705,20:21.00,Cleansanch,H20wolfman,weapon,dead
706,20:22.00,Cleansanch,H20wolfman,weapon,dead
707,20:23.00,eansanc,H20wolfman,weapon,dead
708,20:23.00,Cleansanch,H20wolfman,weapon,dead
709,20:24.00,Cleansanch,H20wolfman,weapon,dead
710,21:1.00,MichelDouglas,GrandpaStig,weapon,dead
711,21:1.00,MichelDouglas,GrandpaStig,weapon,dead
712,21:2.00,MichelDouglas,GrandpaStig,weapon,dead
713,21:3.00,MichelDouglas,GrandpaStig,weapon,dead
714,21:3.00,MichelDouglas,GrandpaStig,weapon,dead
715,21:4.00,MichelDouglas,GrandpaStig,weapon,dead
716,21:5.00,MichelDouglas,GrandpaStig,weapon,dead
717,21:5.00,MichelDouglas,GrandpaStig,weapon,dead
718,21:6.00,MichelDouglas,GrandpaStig,weapon,dead
719,21:7.00,MichelDouglas,GrandpaStig,weapon,dead
720,21:49.00,CommandoBlando,chickentendie,weapon,dead
721,21:49.00,CommandoBlando,chickentendie,weapon,dead
722,21:50.00,CommandoBlando,chickentendie,weapon,dead
723,21:51.00,CommandoBlando,chickentendie,weapon,dead
724,21:51.00,CommandoBlando,chickentendie,weapon,dead
725,21:52.00,CommandoBlando,chickentendie,weapon,dead
726,21:53.00,CommandoBlandc,chickentendie,weapon,dead
727,21:53.00,CommandoBlando,chickentendie,weapon,dead
728,21:54.00,CommandoBlando,chickentendie,weapon,dead
729,21:55.00,CommandoBlando,chickentendie,weapon,dead
730,22:35.00,DrDisRespect,CommandoBlando,weapon,dead
731,22:35.00,DrDisRespect,CommandoBlando,weapon,dead
732,22:36.00,DrDisRespect,CommandoBlando,weapon,dead
733,22:37.00,DrDisRespect,CommandoBlando,weapon,dead
734,22:37.00,DrDisRespect,CommandoBlandc,weapon,dead
735,22:38.00,DrDisRespect,CommandoBlandc,weapon,dead
736,22:39.00,DrDisRespect,CommandoBlando,weapon,dead
737,22:39.00,DrDisRespect,CommandoBlando,weapon,dead
738,22:40.00,DrDisRespect,CommandoBlandc,weapon,dead
739,22:41.00,DrDisRespect,CommandoBlando,weapon,dead
740,22:41.00,DrDisRespect,CommandoBlandc,weapon,dead
741,23:19.00,MichelDouglas,Rakkno,weapon,dead
742,23:19.00,MichelDouglas,Rakkno,weapon,dead
743,23:20.00,MichelDouglas,Rakkno,weapon,dead
744,23:21.00,MichelDouglas,Rakkno,weapon,dead
745,23:21.00,MichelDouglas,Rakkno,weapon,dead
746,23:22.00,MichelDouglas,Rakkno,weapon,dead
747,23:23.00,MichelDouglas,Rakkno,weapon,dead
748,23:23.00,MichelDouglas,Rakkno,weapon,dead
749,23:24.00,MichelDouglas,Rakkno,weapon,dead
750,23:25.00,MichelDouglas,Rakkno,weapon,dead
751,23:25.00,MichelDouglas,Rakkno,weapon,dead
752,23:35.00,DrDisRespect,RSG Jeg_Porkins,knock,knock
753,23:39.00,DrDisResnec,RSGl Jeg Porkins,knock,knock
754,23:45.00,DrDisRespect,RSGJeg_Porkins,weapon,dead
755,23:46.00,DrDisRespect,RSGJeg_Porkins,weapon,dead
756,23:47.00,DrDisRespect,RSG Jeg_Porkins,weapon,dead
757,23:47.00,DrDisRespect,RSG Jeg_Porkins,weapon,dead
758,23:48.00,DrDisRespect,RSG Jeg_Porkins,weapon,dead
759,23:49.00,DrDisRespect,RSGJeg_Porkins,weapon,dead
