,TIME,KILLER,DEAD,KILL_METHOD,CURRENT_STATUS
68,1:28.00,CommandoBlandc,RADD_TADD,weapon,dead
69,1:28.00,DokiDoki_Yuri,ANTIDOTE1006,weapon,dead
70,1:29.00,CXMKleitonLyzFoley,Diphrael,weapon,dead
71,1:29.00,DrDisRespect,Verteidig_en,weapon,dead
72,1:29.00,CommandoBlando,RADD_TADD,weapon,dead
73,1:29.00,DokiDoki_Yuri,ANTIDOTE1006,weapon,dead
74,1:29.00,CXM]KleitonLyzFoley,Diphrael,weapon,dead
75,1:29.00,CommandoBlandc,RADD_TADD,weapon,dead
76,1:29.00,LADSTheCHADdestMan,Neu,weapon,dead
77,1:29.00,DrDisRespect,Verteidig_en,weapon,dead
78,1:30.00,CommandoBlandc,RADD_TADD,weapon,dead
79,1:30.00,CXM]KleitonLyzFoley,Diphrael,weapon,dead
80,1:30.00,LADS TheCHADdestMan,Neu,weapon,dead
81,1:30.00,DrDisRespect,Verteidig_en,weapon,dead
82,1:31.00,CXM]KleitonLyzFoley,Diphrael,weapon,dead
83,1:31.00,LADS TheCHADdestMan,Neur,weapon,dead
84,1:31.00,CommandoBlandc,RADD_TADD,weapon,dead
85,1:31.00,DrDisRespect,Verteidig_en,weapon,dead
86,1:31.00,LADSTheCHADdestMan,leur,weapon,dead
87,1:31.00,CommandoBlando,RADD_TADD,weapon,dead
88,1:31.00,CXM]KleitonLyzFoley,Diphrael,weapon,dead
89,1:31.00,DrDisRespect,Verteidig_en,weapon,dead
90,1:32.00,LADS TheCHADdestMan,leur,weapon,dead
91,1:32.00,CommandoBlando,RADD_TADD,weapon,dead
92,1:32.00,CXM]KleitonLyzFoley,Diphrael,weapon,dead
93,1:32.00,DrDisRespect,Verteidig_en,weapon,dead
94,1:33.00,CXM]KleitonLyzFoley,Diphrael,weapon,dead
95,1:33.00,LADSTheCHADdestMan,Neur,weapon,dead
96,1:33.00,CommandoBlando,RADD_TADD,weapon,dead
97,1:33.00,CommandoBlando,RADD_TADD,weapon,dead
98,1:33.00,CommandoBlando,RADD_TADD,weapon,dead
99,1:33.00,CXM] KleitonLyzFoley,Diphrael,weapon,dead
100,1:34.00,LADSTheCHADdestMan,Neur,weapon,dead
101,1:35.00,LADSTheCHADdestMan,dour,weapon,dead
102,1:36.00,LADS TheCHADdestMan,dou,weapon,dead
103,1:55.00,r9ch,DokiDoki_Yuri,weapon,dead
104,2:16.00,Samvich_,TNCZ EngageBaleine,weapon,dead
105,2:17.00,Samvich_,[TNCZ] EngageBaleine,weapon,dead
106,2:38.00,WortuLuxx,ChaotikVader,weapon,dead
107,2:45.00,RSGJeg_Porkins,MoxOfWar,weapon,dead
108,2:45.00,DustyMalone,rOcb,weapon,dead
109,3:15.00,Jerpm.,HiiiPeracTive,weapon,dead
110,3:16.00,DerpmJ,HiiiPeracTive,weapon,dead
111,3:17.00,CXMKleitonLyzFoley,IZRA-03,weapon,dead
112,3:17.00,DerpmJi,HiiiPeracTive,weapon,dead
113,3:20.00,CXM KleitonLyzFole,IZRA-03,weapon,dead
114,3:20.00,DerpmJi,HiiPeracTive,weapon,dead
115,3:21.00,CXMKleitonLyzFoley,IZRA-03,weapon,dead
116,3:21.00,DerpmJi,PeracTive,weapon,dead
117,3:21.00,[CXM] KleitonLyzFoley,IZRA-03,weapon,dead
118,3:21.00,zxphyr,[QQGG] BroadwayBRETT,weapon,dead
119,3:31.00,CXMKleitonLyzFole,FART]DrDumper,weapon,dead
120,3:48.00,Undershoes,SoulReaper268,weapon,dead
121,3:49.00,Undershoes,SoulReaper268,weapon,dead
122,3:49.00,eansanc,SHaoOKhAAN,weapon,dead
123,3:49.00,Undershoes,SoulReaper268,weapon,dead
124,3:51.00,Jeansan,SHaoOKhAAN,weapon,dead
125,4:32.00,akoosti,Nokk,weapon,dead
126,4:35.00,akoostil,Mokk,weapon,dead
127,4:39.00,[GSDU] TayTor,ItsMcWhorter,weapon,dead
128,4:39.00,akoostik,Tort_aka_TheDog,weapon,dead
129,5:29.00,[GSDU] TayTor,singningduck,weapon,dead
130,5:30.00,[GSDU] TayTor,singningduck,weapon,dead
131,5:31.00,[GSDU] TayTor,singningduck,weapon,dead
132,5:31.00,[GSDU] TayTor,singningduck,weapon,dead
133,5:31.00,DannyUncanny,DerpmJ,weapon,dead
134,5:32.00,GSDU] TayTor,singningduck,weapon,dead
135,5:32.00,DannyUncanny,DerpmJ,weapon,dead
136,5:33.00,DannyUncanny,DerpmJ,weapon,dead
137,5:33.00,GSDU]TayTor,singningduck,weapon,dead
138,5:33.00,DannyUncanny,DerpmJ,weapon,dead
139,5:35.00,DannyUncanny,DerpmJ,weapon,dead
140,5:35.00,69_Aidan,DAME,weapon,dead
141,5:35.00,DannyUncanny,DerpmJi,weapon,dead
142,5:35.00,69_Aidan,DAME,weapon,dead
143,5:36.00,annyUncanny,DerpmJ,weapon,dead
144,5:36.00,69_Aidan,DAME.,weapon,dead
